grandeur,rpc_method,json_path,definition_fr,unite,plage_plausible,source_seuil,nature,role_metier,regle_usage,version
b_voltage,Shelly.GetStatus,$.em:0.b_voltage,Tension mesuree sur la voie B (meme conducteur que A : monophase),V,"[80,280)",Plausibilite capteur ; conformite fourniture 230 V +/-10 pct (207-253 V) a confirmer contractuellement,mesuree,qualite_fourniture,"Meme conducteur sur les 3 voies (monophase) : redondance = preuve, pas information",1.0.0
c_act_power,Shelly.GetComponents,$.c_act_power,Puissance active de la voie C : conducteur sans charge (zero attendu),W,"[-100,14500)",Calibre TC 63 A x 230 V nominal,mesuree,temoin,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_act_power,Shelly.GetStatus,$.em:0.c_act_power,Puissance active de la voie C : conducteur sans charge (zero attendu),W,"[-100,14500)",Calibre TC 63 A x 230 V nominal,mesuree,temoin,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_aprt_power,Shelly.GetComponents,$.c_aprt_power,Puissance apparente residuelle de la voie C : plancher de bruit du capteur,VA,"[0,14500)",Calibre TC 63 A x 230 V nominal,mesuree,temoin,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_aprt_power,Shelly.GetStatus,$.em:0.c_aprt_power,Puissance apparente residuelle de la voie C : plancher de bruit du capteur,VA,"[0,14500)",Calibre TC 63 A x 230 V nominal,mesuree,temoin,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_current,Shelly.GetComponents,$.c_current,Courant residuel de la voie C : plancher de sensibilite de la pince,A,"[0,63)",Calibre TC 63 A x 230 V nominal,mesuree,temoin,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_current,Shelly.GetStatus,$.em:0.c_current,Courant residuel de la voie C : plancher de sensibilite de la pince,A,"[0,63)",Calibre TC 63 A x 230 V nominal,mesuree,temoin,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_freq,Shelly.GetComponents,$.c_freq,Frequence du reseau mesuree sur la voie C (valide : mesuree sur la tension),Hz,"[45,55)",Plage plausible reseau 50 Hz,mesuree,qualite_fourniture,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_freq,Shelly.GetStatus,$.em:0.c_freq,Frequence du reseau mesuree sur la voie C (valide : mesuree sur la tension),Hz,"[45,55)",Plage plausible reseau 50 Hz,mesuree,qualite_fourniture,Voie sans charge : sert de reference de bruit du capteur,1.0.0
c_pf,Shelly.GetComponents,$.c_pf,Facteur de puissance de la voie C : indefini sans courant (zero),sans unite,"[-1,1)",Definition physique du ratio,mesuree,temoin,Inclut la distorsion : l ecart avec un cos phi reconstruit des energies chiffre les harmoniques,1.0.0
c_pf,Shelly.GetStatus,$.em:0.c_pf,Facteur de puissance de la voie C : indefini sans courant (zero),sans unite,"[-1,1)",Definition physique du ratio,mesuree,temoin,Inclut la distorsion : l ecart avec un cos phi reconstruit des energies chiffre les harmoniques,1.0.0
c_voltage,Shelly.GetComponents,$.c_voltage,Tension mesuree sur la voie C (meme conducteur que A : monophase),V,"[80,280)",Plausibilite capteur ; conformite fourniture 230 V +/-10 pct (207-253 V) a confirmer contractuellement,mesuree,qualite_fourniture,"Meme conducteur sur les 3 voies (monophase) : redondance = preuve, pas information",1.0.0
c_voltage,Shelly.GetStatus,$.em:0.c_voltage,Tension mesuree sur la voie C (meme conducteur que A : monophase),V,"[80,280)",Plausibilite capteur ; conformite fourniture 230 V +/-10 pct (207-253 V) a confirmer contractuellement,mesuree,qualite_fourniture,"Meme conducteur sur les 3 voies (monophase) : redondance = preuve, pas information",1.0.0
n_current,Shelly.GetComponents,$.n_current,Courant de neutre CALCULE sous hypothese triphasee 120 deg : sans signification en monophase,A,,Non applicable (monophase),sans_signification,temoin,EXCLURE de toute analyse : hypothese triphasee sans objet ici,1.0.0
n_current,Shelly.GetStatus,$.em:0.n_current,Courant de neutre CALCULE sous hypothese triphasee 120 deg : sans signification en monophase,A,,Non applicable (monophase),sans_signification,temoin,EXCLURE de toute analyse : hypothese triphasee sans objet ici,1.0.0
rssi,Shelly.GetComponents,$.rssi,Puissance du signal Wi-Fi recu par le Shelly : sante du lien radio de la collecte,dB,"[-100,-20)",Plage physique Wi-Fi,mesuree,exploitation_dispositif,"Donnee du DISPOSITIF, pas du menage : ne jamais meler aux consommations ; divergence 1 dB entre methodes normale (2 instants)",1.0.0
rssi,Shelly.GetStatus,$.wifi.rssi,Puissance du signal Wi-Fi recu par le Shelly : sante du lien radio de la collecte,dB,"[-100,-20)",Plage physique Wi-Fi,mesuree,exploitation_dispositif,"Donnee du DISPOSITIF, pas du menage : ne jamais meler aux consommations ; divergence 1 dB entre methodes normale (2 instants)",1.0.0
