source_rpc;nom_source;nom_normalise;classe;type;unite;plage;licence_usage;description
EMData.GetStatus;c_total_act_energy;C_energy_total_vie;native;float;Wh;0..inf croissant;temoin;Cumul C: 44.25 Wh = trace des manipulations d installation
EMData.GetStatus;c_total_act_ret_energy;C_energy_total_ret_vie;native;float;Wh;0..inf croissant;temoin;Cumul retour C: 67.08 Wh = idem (pince brievement posee inversee)
EMData.GetStatus;total_act;SYS_energy_total_vie;derivee;float;Wh;0..inf;interdit;Somme A+B+C a vie: double-compte
EMData.GetStatus;total_act_ret;SYS_energy_total_ret_vie;derivee;float;Wh;0..inf;interdit;Somme retours: double-compte
EMData.GetRecords(minute);ts;TS_utc_1m;systeme;timestamptz;-;-;cle_temporelle;Horodatage minute UTC (restitution Africa/Douala)
EMData.GetRecords(minute);a_total_act_energy;A_energy_total_1m;native;float;Wh/min;0..240;reference;ENERGIE DE LA MINUTE (PAS un compteur: sommer=OK, x60=P moyenne)
EMData.GetRecords(minute);a_fund_act_energy;A_energy_fund_1m;native;float;Wh/min;0..240;analyse_harmoniques;Energie fondamentale (hors harmoniques) de la minute A
EMData.GetRecords(minute);a_total_act_ret_energy;A_energy_total_ret_1m;native;float;Wh/min;0..240;controle_signe;Energie retournee de la minute A (~0 sauf inversion/injection)
EMData.GetRecords(minute);a_fund_act_ret_energy;A_energy_fund_ret_1m;native;float;Wh/min;0..240;analyse_harmoniques;Fondamentale retournee A
EMData.GetRecords(minute);a_lag_react_energy;A_energy_lag_1m;native;float;varh/min;0..240;analyse_reactif;Reactif inductif de la minute A (PF reconstruit = E/rac(E2+Q2))
EMData.GetRecords(minute);a_lead_react_energy;A_energy_lead_1m;native;float;varh/min;0..240;analyse_reactif;Reactif capacitif de la minute A
EMData.GetRecords(minute);a_max_act_power;A_power_max_1m;native;float;W;-14500..14500;reference;Pointe intra-minute VRAIE (pas echantillonnee) voie A
EMData.GetRecords(minute);a_min_act_power;A_power_min_1m;native;float;W;-14500..14500;reference;Minimum intra-minute A
EMData.GetRecords(minute);a_max_aprt_power;A_aprt_max_1m;native;float;VA;0..14500;reference;Apparente max intra-minute A
EMData.GetRecords(minute);a_min_aprt_power;A_aprt_min_1m;native;float;VA;0..14500;reference;Apparente min intra-minute A
EMData.GetRecords(minute);a_max_voltage;A_voltage_max_1m;native;float;V;0..300;qualite_fourniture;Tension max intra-minute
EMData.GetRecords(minute);a_min_voltage;A_voltage_min_1m;native;float;V;0..300;qualite_fourniture;Tension MIN intra-minute (le detecteur de creux: 182.3 V observe)
EMData.GetRecords(minute);a_avg_voltage;A_voltage_avg_1m;native;float;V;0..300;qualite_fourniture;Tension moyenne minute
EMData.GetRecords(minute);a_max_current;A_current_max_1m;native;float;A;0..63;reference_securite;Courant max intra-minute (17.9 A observe)
EMData.GetRecords(minute);a_min_current;A_current_min_1m;native;float;A;0..63;reference;Courant min intra-minute
EMData.GetRecords(minute);a_avg_current;A_current_avg_1m;native;float;A;0..63;reference;Courant moyen minute
EMData.GetRecords(minute);b_*(16 colonnes);B_*_1m;native;float;idem A;idem A;sous_comptage;Memes 16 grandeurs pour la voie B (INCLUSE dans A)
EMData.GetRecords(minute);c_*(16 colonnes);C_*_1m;native;float;idem A;idem A;temoin;Memes 16 grandeurs pour la voie C (temoin de bruit)
EMData.GetRecords(minute);n_max_current;N_current_max_1m;derivee;float;A;null;interdit;Neutre calcule: sans signification en monophase
EMData.GetRecords(minute);n_min_current;N_current_min_1m;derivee;float;A;null;interdit;idem
EMData.GetRecords(minute);n_avg_current;N_current_avg_1m;derivee;float;A;null;interdit;idem
ingestion(pipeline);device_mac;SYS_mac;systeme;text;-;A4F00FCCAF68;metadonnee;Identite materielle de la source (ajoutee a l ingestion)
ingestion(pipeline);period_s;SYS_period_s;systeme;int;s;60;metadonnee;Duree nominale de l enregistrement minute
ingestion(pipeline);ingested_at;SYS_ingested_at;qualite;timestamptz;-;-;tracabilite;Heure d ingestion en base (vs ts: mesure le retard de rapatriement)
Sys.GetStatus;uptime;SYS_uptime_inst;systeme;int;s;0..inf;exploitation;Secondes depuis le dernier demarrage: LE dateur de coupures secteur
Sys.GetStatus;unixtime+time;SYS_time_inst;systeme;int;s epoch;-;exploitation;Horloge appareil (NTP+RTC): reference de datation
Sys.GetStatus;ram_free/ram_size;SYS_ram_inst;systeme;int;octets;0..261932;exploitation;Sante memoire vive (88 Ko libres observes)
Sys.GetStatus;fs_free/fs_size;SYS_fs_inst;systeme;int;octets;0..524288;exploitation;Sante flash (34 pct libre: heberge les 60 j de memoire)
Sys.GetStatus;cfg_rev;SYS_cfg_rev;systeme;int;-;0..inf;tracabilite;Revision de configuration (15): tout changement de config s y lit
Sys.GetStatus;reset_reason;SYS_reset_reason;systeme;int;-;code;exploitation;Cause du dernier demarrage (1 = mise sous tension)
Sys.GetStatus;restart_required;SYS_restart_req;systeme;bool;-;-;exploitation;Redemarrage requis (false)
Wifi.GetStatus;rssi;SYS_rssi_inst;qualite;int;dB;-100..-20;exploitation;Puissance du signal radio: sante du lien (seule divergence toleree entre les 2 methodes)
Wifi.GetStatus;sta_ip;SYS_ip_courante;qualite;text;-;-;exploitation;Adresse IP courante (7 valeurs en 6 jours: variable a part entiere sur cette infra)
Temperature.GetStatus;tC;SYS_temp_inst;native;float;degC;-40..85;exploitation;Temperature interne (54.8 observe: A SURVEILLER, hors de tous les flux actuels)
