nom_normalise,source_physique,rpc,table_pg,colonne_source,vues_derivees,exports,independance
A_energy_lead_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_lead_react_energy,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_energy_total_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_total_act_energy,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_energy_total_ret_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_total_act_ret_energy,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_energy_total_ret_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),a_total_act_ret_energy,-,rapports Phase 0 / EDA,hors flux continu
A_energy_total_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),a_total_act_energy,-,rapports Phase 0 / EDA,hors flux continu
A_freq_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",a_freq,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
A_pf_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",a_pf,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
A_power_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",a_act_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
A_power_max_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_max_act_power,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_power_min_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_min_act_power,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_voltage_avg_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_avg_voltage,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_voltage_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",a_voltage,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
A_voltage_max_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_max_voltage,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
A_voltage_min_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,a_min_voltage,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
B_*_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,b_*(16 colonnes),"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
B_aprt_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",b_aprt_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
B_current_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",b_current,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
B_energy_total_ret_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),b_total_act_ret_energy,-,rapports Phase 0 / EDA,hors flux continu
B_energy_total_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),b_total_act_energy,-,rapports Phase 0 / EDA,hors flux continu
B_freq_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",b_freq,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
B_pf_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",b_pf,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
B_power_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",b_act_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
B_voltage_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",b_voltage,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
C_*_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,c_*(16 colonnes),"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
C_aprt_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",c_aprt_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
C_current_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",c_current,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
C_energy_total_ret_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),c_total_act_ret_energy,-,rapports Phase 0 / EDA,hors flux continu
C_energy_total_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),c_total_act_energy,-,rapports Phase 0 / EDA,hors flux continu
C_freq_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",c_freq,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
C_pf_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",c_pf,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
C_power_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",c_act_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
C_voltage_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",c_voltage,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
N_current_avg_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,n_avg_current,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
N_current_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",n_current,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
N_current_max_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,n_max_current,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
N_current_min_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,n_min_current,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
REGLE_controle_croise_2methodes,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Shelly.GetStatus+GetComponents,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),em:0.*,-,rapports Phase 0 / EDA,hors flux continu
SYS_aprt_total_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",total_aprt_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_calib_user,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),user_calibrated_phase,-,rapports Phase 0 / EDA,hors flux continu
SYS_cfg_rev,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),cfg_rev,-,rapports Phase 0 / EDA,hors flux continu
SYS_current_total_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",total_current,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_energy_total_ret_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),total_act_ret,-,rapports Phase 0 / EDA,hors flux continu
SYS_energy_total_vie,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),total_act,-,rapports Phase 0 / EDA,hors flux continu
SYS_fs_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",fs_free/fs_size,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_ingested_at,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",ingestion(pipeline),AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),ingested_at,-,rapports Phase 0 / EDA,hors flux continu
SYS_ip_courante,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Wifi.GetStatus,"observation externe (.env, journaux)",sta_ip,-,rapports Phase 0 / EDA,hors flux continu
SYS_mac,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",ingestion(pipeline),AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),device_mac,-,rapports Phase 0 / EDA,hors flux continu
SYS_period_s,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",ingestion(pipeline),AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),period_s,-,rapports Phase 0 / EDA,hors flux continu
SYS_power_total_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EM.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",total_act_power,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_ram_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",ram_free/ram_size,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_reset_reason,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),reset_reason,-,rapports Phase 0 / EDA,hors flux continu
SYS_restart_req,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,AUCUNE (sonde documentaire : valeur consignee dans docs/ et rapports),restart_required,-,rapports Phase 0 / EDA,hors flux continu
SYS_rssi_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Wifi.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",rssi,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_temp_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Temperature.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",tC,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_time_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",unixtime+time,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
SYS_uptime_inst,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",Sys.GetStatus,"shelly.p1_instantaneous_observation (+ p1_variable_registry, p1_collection_cycle, p1_raw_payload sha256)",uptime,"p1_historique_large, p1_correspondance_40_20, silver.p1_seconde",aucun export scelle a ce jour (source de reconciliation),"CHAINE TEMPS REEL : polling 2 methodes croisees, offset horloge mesure par cycle"
TS_utc_1m,"SHELLY_PRO_3EM (A4F00FCCAF68, pinces A/B/C)",EMData.GetRecords(minute),public.shelly_minute,ts,"silver.minute, p1_reconstitution_minute, gold.bilan_journalier, gold.profil_horaire","shelly_minute_complet_20260905.csv (scelle SHA-256), bilan_journalier_20260905.csv, point_collecte_20260831_20260904.csv","CHAINE MEMOIRE : integration native appareil, INDEPENDANTE du flux 1s - PAS une agregation de shelly_readings"
